read ,READ
x ,IDENTIFIER
; ,SEMICOLON
if ,IF
0 ,NUMBER
< ,LESSTHAN
x ,IDENTIFIER
then ,THEN
fact ,IDENTIFIER
:= ,ASSIGN
1 ,NUMBER
+ ,PLUS
( ,OPENBRACKET
1 ,NUMBER
* ,MULT
( ,OPENBRACKET
2 ,NUMBER
* ,MULT
( ,OPENBRACKET
3 ,NUMBER
+ ,PLUS
( ,OPENBRACKET
x ,IDENTIFIER
- ,MINUS
( ,OPENBRACKET
y ,IDENTIFIER
) ,CLOSEDBRACKET
) ,CLOSEDBRACKET
) ,CLOSEDBRACKET
) ,CLOSEDBRACKET
) ,CLOSEDBRACKET
; ,SEMICOLON
repeat ,REPEAT
fact ,IDENTIFIER
:= ,ASSIGN
fact ,IDENTIFIER
* ,MULT
x ,IDENTIFIER
; ,SEMICOLON
x ,IDENTIFIER
:= ,ASSIGN
x ,IDENTIFIER
- ,MINUS
1 ,NUMBER
until ,UNTIL
x ,IDENTIFIER
= ,EQUAL
0 ,NUMBER
; ,SEMICOLON
write ,WRITE
fact ,IDENTIFIER
end ,END
